michelin_year,restaurant_name,michelin_stars,prior_stars,event_flag,area,flag
2016,The French Laundry,3,3,None,SF,Include
2016,The Restaurant At Meadowood,3,3,None,SF,Include
2016,Manresa,3,2,Gained 1 Star(s),SF,Include
2016,Coi,2,2,None,SF,Include
2016,Saison,3,3,None,SF,Include
2016,Benu,3,3,None,SF,Include
2016,Baumé,2,2,None,SF,Include
2016,Quince,2,2,None,SF,Include
2016,Atelier Crenn,2,2,None,SF,Include
2016,Acquerello,2,2,None,SF,Include
2016,Commis,2,1,Gained 1 Star(s),SF,Include
2016,Aziza,1,1,None,SF,Include
2016,SolBar,1,1,None,SF,Include
2016,Bouchon,1,1,None,SF,Include
2016,Terra,1,1,None,SF,Exclude
2016,Madrona Manor,1,1,None,SF,Exclude
2016,Ame,1,1,None,SF,Include
2016,Plumed Horse,1,1,None,SF,Include
2016,Farmhouse Inn Restaurant,1,1,None,SF,Include
2016,Chez TJ,1,1,None,SF,Include
2016,La Toque,1,1,None,SF,Include
2016,Auberge du Soleil,1,1,None,SF,Exclude
2016,Luce,1,1,None,SF,Exclude
2016,Campton Place Restaurant,2,1,Gained 1 Star(s),SF,Include
2016,Gary Danko,1,1,None,SF,Include
2016,The Village Pub,1,1,None,SF,Include
2016,Spruce,1,1,None,SF,Include
2016,Cyrus,0,0,None,SF,Exclude
2016,Boulevard,0,1,Lost 1 Star(s),SF,Include
2016,Wakuriya,1,1,None,SF,Include
2016,La Folie,0,1,Lost 1 Star(s),SF,Include
2016,Michael Mina,1,1,None,SF,Include
2016,Madera,0,1,Lost 1 Star(s),SF,Include
2016,Terrapin Creek Cafe & Restaurant,1,1,None,SF,Include
2016,Sons & Daughters,1,1,None,SF,Include
2016,Redd,0,0,None,SF,Include
2016,Keiko  Nob Hill,1,1,None,SF,Include
2016,Masas,0,0,None,SF,Include
2016,All Spice,1,1,None,SF,Include
2016,SPQR,1,1,None,SF,Include
2016,Ubuntu,0,0,None,SF,Exclude
2016,Alexanders Steakhouse,0,0,None,SF,Include
2016,Frances,0,0,None,SF,Include
2016,étoile,0,0,None,SF,Exclude
2016,One Market Restaurant,0,0,None,SF,Include
2016,Fleur de Lys,0,0,None,SF,Exclude
2016,Santé,0,0,None,SF,Include
2016,State Bird Provisions,1,1,None,SF,Include
2016,La Costanera,0,0,None,SF,Include
2016,The Dining Room at the Ritz Carlton,0,0,None,SF,Exclude
2016,Applewood,0,0,None,SF,Exclude
2016,Dio Deka,0,0,None,SF,Include
2016,KUSAKABE,1,1,None,SF,Include
2016,Murray Circle,0,0,None,SF,Include
2016,Lazy Bear,1,0,Gained 1 Star(s),SF,Include
2016,Commonwealth,1,0,Gained 1 Star(s),SF,Include
2016,Rasa,1,0,Gained 1 Star(s),SF,Include
2016,Sushi Yoshizumi,1,0,Gained 1 Star(s),SF,Include
2016,Mourad Restaurant,1,0,Gained 1 Star(s),SF,Include
2016,Aster,1,0,Gained 1 Star(s),SF,Include
2016,Californios,1,0,Gained 1 Star(s),SF,Include
2016,Octavia,1,0,Gained 1 Star(s),SF,Include
2016,ALs Place,1,0,Gained 1 Star(s),SF,Include
2016,Trevese,0,0,None,SF,Exclude
2016,El Paseo,0,0,None,SF,Include
2016,Omakase,1,0,Gained 1 Star(s),SF,Include
2016,Lord Stanley,1,0,Gained 1 Star(s),SF,Include
2016,Nico,1,0,Gained 1 Star(s),SF,Include
2016,Wako Japanese Restaurant,1,0,Gained 1 Star(s),SF,Include
2016,Range Restaurant,0,0,None,SF,Include
2016,Mirepoix,0,0,None,SF,Exclude
2016,Fifth Floor,0,0,None,SF,Exclude
2016,Chez Panisse,0,0,None,SF,Include
2016,Kin Khao,1,0,Gained 1 Star(s),SF,Include
2016,Maruya,0,1,Lost 1 Star(s),SF,Include
2015,The French Laundry,3,3,None,SF,Include
2015,The Restaurant At Meadowood,3,3,None,SF,Include
2015,Manresa,2,2,None,SF,Include
2015,Coi,2,2,None,SF,Include
2015,Saison,3,2,Gained 1 Star(s),SF,Include
2015,Benu,3,2,Gained 1 Star(s),SF,Include
2015,Baumé,2,2,None,SF,Include
2015,Quince,2,2,None,SF,Include
2015,Atelier Crenn,2,2,None,SF,Include
2015,Acquerello,2,1,Gained 1 Star(s),SF,Include
2015,Commis,1,1,None,SF,Include
2015,Aziza,1,1,None,SF,Include
2015,SolBar,1,1,None,SF,Include
2015,Bouchon,1,1,None,SF,Include
2015,Terra,1,1,None,SF,Exclude
2015,Madrona Manor,1,1,None,SF,Exclude
2015,Ame,1,1,None,SF,Include
2015,Plumed Horse,1,1,None,SF,Include
2015,Farmhouse Inn Restaurant,1,1,None,SF,Include
2015,Chez TJ,1,1,None,SF,Include
2015,La Toque,1,1,None,SF,Include
2015,Auberge du Soleil,1,1,None,SF,Exclude
2015,Luce,1,1,None,SF,Exclude
2015,Campton Place Restaurant,1,1,None,SF,Include
2015,Gary Danko,1,1,None,SF,Include
2015,The Village Pub,1,1,None,SF,Include
2015,Spruce,1,1,None,SF,Include
2015,Cyrus,0,0,None,SF,Exclude
2015,Boulevard,1,1,None,SF,Include
2015,Wakuriya,1,1,None,SF,Include
2015,La Folie,1,1,None,SF,Include
2015,Michael Mina,1,1,None,SF,Include
2015,Madera,1,1,None,SF,Include
2015,Terrapin Creek Cafe & Restaurant,1,1,None,SF,Include
2015,Sons & Daughters,1,1,None,SF,Include
2015,Redd,0,0,None,SF,Include
2015,Keiko  Nob Hill,1,1,None,SF,Include
2015,Masas,0,0,None,SF,Include
2015,All Spice,1,1,None,SF,Include
2015,SPQR,1,1,None,SF,Include
2015,Ubuntu,0,0,None,SF,Exclude
2015,Alexanders Steakhouse,0,0,None,SF,Include
2015,Frances,0,0,None,SF,Include
2015,étoile,0,0,None,SF,Exclude
2015,One Market Restaurant,0,0,None,SF,Include
2015,Fleur de Lys,0,0,None,SF,Exclude
2015,Santé,0,0,None,SF,Include
2015,State Bird Provisions,1,1,None,SF,Include
2015,La Costanera,0,0,None,SF,Include
2015,The Dining Room at the Ritz Carlton,0,0,None,SF,Exclude
2015,Applewood,0,0,None,SF,Exclude
2015,Dio Deka,0,0,None,SF,Include
2015,KUSAKABE,1,0,Gained 1 Star(s),SF,Include
2015,Murray Circle,0,0,None,SF,Include
2015,Lazy Bear,0,0,None,SF,Include
2015,Commonwealth,0,0,None,SF,Include
2015,Rasa,0,0,None,SF,Include
2015,Sushi Yoshizumi,0,0,None,SF,Include
2015,Mourad Restaurant,0,0,None,SF,Include
2015,Aster,0,0,None,SF,Include
2015,Californios,0,0,None,SF,Include
2015,Octavia,0,0,None,SF,Include
2015,ALs Place,0,0,None,SF,Include
2015,Trevese,0,0,None,SF,Exclude
2015,El Paseo,0,0,None,SF,Include
2015,Omakase,0,0,None,SF,Include
2015,Lord Stanley,0,0,None,SF,Include
2015,Nico,0,0,None,SF,Include
2015,Wako Japanese Restaurant,0,0,None,SF,Include
2015,Range Restaurant,0,0,None,SF,Include
2015,Mirepoix,0,0,None,SF,Exclude
2015,Fifth Floor,0,0,None,SF,Exclude
2015,Chez Panisse,0,0,None,SF,Include
